id,cores,threads,name,launch_date,lithography,base_frequency,turbo_frequency,cache_l1,cache_l2,cache_l3,tdp,product_line,socket,memory_type,url,vertical_segment,max_temp,max_memory_speed,sku
225,4,,7th Gen FX 9830P APU,Q216,28,3000,3700,,2048,,35,AMD FX-Series Processors for Laptops,FP4,DDR4,https://www.amd.com/en/product/6116,Laptop,90,2400,6116
226,4,,7th Gen FX 9800P APU,Q216,28,2700,3600,,2048,,15,AMD FX-Series Processors for Laptops,FP4,DDR4,https://www.amd.com/en/product/6121,Laptop,90,1866,6121
227,2,,7th Gen E2-9010 APU,Q217,28,200,2200,,1024,,15,AMD E2-Series APU for Laptops,,DDR4,https://www.amd.com/en/product/2141,Laptop,90,186,2141
228,4,4,6th Gen A10-8700P APU,,28,1800,3200,,2048,,15,AMD A10-Series APU for Laptops,FP4,DDR3,https://www.amd.com/en/product/5921,Laptop,90,2133,5921
229,4,4,6th Gen A8-8600P APU,,28,1600,3000,,2048,,15,AMD A8-Series APU for Laptops,FP4,DDR3,https://www.amd.com/en/product/5926,Laptop,90,2133,5926
230,4,,6th Gen AMD PRO A12-8870 APU,3Q 2016,28,3700,4200,,2048,,65,AMD PRO A-Series A12 APU for Desktops,AM4,DDR4,https://www.amd.com/en/product/6231,Desktop,,2400,6231
231,4,,6th Gen AMD PRO A12-8870E APU,,28,2900,3800,,2048,,35,AMD PRO A-Series A12 APU for Desktops,AM4,DDR4,https://www.amd.com/en/product/6146,Desktop,,2400,6146
232,4,4,6th Gen AMD PRO A10-8850B APU,,28,3900,4100,,4096,,95,AMD PRO A-Series A10 APU for Desktops,FM2+,DDR3,https://www.amd.com/en/product/6031,Desktop,72.4,2133,6031
233,4,,6th Gen AMD PRO A10-8770 APU,3Q 2016,28,3500,3800,,2048,,65,AMD PRO A-Series A10 APU for Desktops,AM4,DDR4,https://www.amd.com/en/product/6236,Desktop,,2400,6236
234,4,,6th Gen AMD PRO A10-8770E APU,3Q 2016,28,2800,3500,,2048,,35,AMD PRO A-Series A10 APU for Desktops,AM4,DDR4,https://www.amd.com/en/product/6241,Desktop,,2400,6241
235,4,4,6th Gen AMD PRO A10-8750B APU,,28,3600,4000,,4096,,65,AMD PRO A-Series A10 APU for Desktops,FM2+,DDR3,https://www.amd.com/en/product/6036,Desktop,71.3,2133,6036
236,4,4,6th Gen AMD PRO A8-8650B APU,,28,3200,3900,,4096,,65,AMD PRO A-Series A8 APU for Desktops,FM2+,DDR3,https://www.amd.com/en/product/6041,Desktop,71.3,2133,6041
